definition;glottocode;id_word;id_meaning;lemma;ipa;morphology;pos;examples;reference;annotator
"А1 гIалгIаи? алфавилта хъалхара алап.  Первая буква ингушского алфавита; алап «~»Iоязде.  Написать букву «а»";ingu1240;1;1;а;a;;;алап «а»Iоязде.  Написать букву «а».;Bekova 2009;Varvara Kormilitsyna
"А2 союз и, да; воша и?иша ~.  И брат, и сестра";ingu1240;2;1;а;a;;conj;воша и?иша а.  И брат, и сестра.;Bekova 2009;Varvara Kormilitsyna
"А3 союз также, тоже; из ~ вахар Буро тIа.  Он тоже жил во Владикавказе";ingu1240;3;1;а;a;;conj;из а вахар Буро тIа.  Он тоже жил во Владикавказе.;Bekova 2009;Varvara Kormilitsyna
"А4 частица даже, и; сога ~ техаяц зIы.  И мне не позвонили";ingu1240;4;1;а;a;;part;сога а техаяц зIы.  И мне не позвонили.;Bekova 2009;Varvara Kormilitsyna
"А5 частица, усиливающая оттенок отрицания, никто; цхьаннена ~ дицмалац бIаьстан денош.  Никто не забывает весенние дни";ingu1240;5;1;а;a;;part;цхьаннена а дицмалац бIаьстан денош.  Никто не забывает весенние дни.;Bekova 2009;Varvara Kormilitsyna
"А6 отриц.  слово нет; нек де хои? хьона? ~.  Ты умеешь плавать? Нет";ingu1240;6;1;а;a;;;нек де хои? хьона? а.  Ты умеешь плавать? Нет.;Bekova 2009;Varvara Kormilitsyna
"А7 сущ.  мед.  д (д), -наш, -но, -наца спазм мышцы, судорога; кога ~ эттад.  Спазм мышцы ноги";ingu1240;7;1;а;a;д, наш, но, наца;noun;кога а эттад.  Спазм мышцы ноги.;Bekova 2009;Varvara Kormilitsyna
"А8 сущ.  мед.  (только в ед. ч. ), -но, -наца прострел; ~ ии?ккхар цунга.  У него прострел";ingu1240;8;1;а;a;только в ед. ч. , но, наца;noun;а ии?ккхар цунга.  У него прострел.;Bekova 2009;Varvara Kormilitsyna
"АБА сущ.  я (я), -аш, -о, -аца халат (у хаджи ряса); и?Iаьха ~.  Длинныи? халат";ingu1240;9;1;аба;a-b-a;я, у хаджи ряса, аш, о, аца;noun;и?Iаьха аба.  Длинныи? халат.;Bekova 2009;Varvara Kormilitsyna
"АБАДЕ сущ.  я (только в ед.  ч. ), -ено, -енца вечность без конца; ~.  Вечность";ingu1240;10;1;абаде;a-b-a-d-je;только в ед.  ч. , ено, енца;noun;абаде.  Вечность.;Bekova 2009;Varvara Kormilitsyna
"АБАЖУР  сущ.  я (я), -аш, -о, -аца абажур; хоза ~.  Красивыи? абажур";ingu1240;11;1;абажур;a-b-a-?-u?-r;я, аш, о, аца;noun;хоза абажур.  Красивыи? абажур.;Bekova 2009;Varvara Kormilitsyna
"АБАЗО // обзо сущ.  в, я (б), -и?, -чо, -чунца абазинец, абазинка; ши ~ вар соца эскаре гIулакх деш.  Со мнои? служили в армии два абазинца";ingu1240;12;1;абазо;a-b-a-z-o;обзо, б, и, чо, чунца;noun;ши абазо вар соца эскаре гIулакх деш.  Со мнои? служили в армии два абазинца.;Bekova 2009;Varvara Kormilitsyna
"АБАЗОИ? прил.  абазинскии?; мотт.Абазинскии? язык.АБАТсущ.  д(д), -аш, -о, -аца букварь, азбука; ~ деша.  Читать букварь";ingu1240;13;1;абазои;a-b-a-z-o-i;д, аш, о, аца;noun;абазои деша.  Читать букварь.;Bekova 2009;Varvara Kormilitsyna
"АБАТА прил.  алфавитныи?; ~ аргIа.Алфавитныи? порядок";ingu1240;14;1;абата;a-b-a-t-a;;adj;абата аргIа.Алфавитныи? порядок.;Bekova 2009;Varvara Kormilitsyna
"АББАТ  сущ.  рел.  в (б), -аш, -а, -аца аббат; къона ~.  Молодои? аббат";ingu1240;15;1;аббат;a-b-b-a-t;б, аш, а, аца;noun;къона аббат.  Молодои? аббат.;Bekova 2009;Varvara Kormilitsyna
"АББАТА // аббатии? прил.  рел.  аббатскии?; ~ низам.  Аббатская дисциплина";ingu1240;16;1;аббата;a-b-b-a-t-a;аббатии;adj;аббата низам.  Аббатская дисциплина.;Bekova 2009;Varvara Kormilitsyna
"АББРЕВИАТУРА  сущ.  я (я), -аш, -о, -аца аббревиатура; чоалхане ~ Сложная аббревиатура";ingu1240;17;1;аббревиатура;a-b-b-r-je-w-i-a-t-u?-r-a;я, аш, о, аца;noun;чоалхане аббревиатура Сложная аббревиатура.;Bekova 2009;Varvara Kormilitsyna
"АБЗАЦ  сущ.  я (я), -аш, -о, -аца абзац; хьалхара ~.  Первыи? абзац";ingu1240;18;1;абзац;a-b-z-a-c;я, аш, о, аца;noun;хьалхара абзац.  Первыи? абзац.;Bekova 2009;Varvara Kormilitsyna
"АБИТУРИЕНТ  сущ.  в (б), -аш, -а, -аца абитуриент; тIеххьара ~.  Последнии? абитуриент";ingu1240;19;1;абитуриент;a-b-i-t-u?-r-i-je-n-t;б, аш, а, аца;noun;тIеххьара абитуриент.  Последнии? абитуриент.;Bekova 2009;Varvara Kormilitsyna
"АБОНЕМЕНТ  сущ.  я (я), -аш, -о, -аца абонемент; лекцешка ахара и?ола~.Абонемент на цикл лекции?";ingu1240;20;1;абонемент;a-b-o-n-je-m-je-n-t;я, аш, о, аца;noun;лекцешка ахара и?олаабонемент.Абонемент на цикл лекции?.;Bekova 2009;Varvara Kormilitsyna
"АБОНЕНТ  сущ.  в (б), -аш, -а, -аца абонент; мегафона ~.  Абонент сети мегафон";ingu1240;21;1;абонент;a-b-o-n-je-n-t;б, аш, а, аца;noun;мегафона абонент.  Абонент сети мегафон.;Bekova 2009;Varvara Kormilitsyna
"АБОРИГЕН  сущ.  в (б), -аш, -а, -аца абориген; Кавказа ~.  Абориген Кавказа";ingu1240;22;1;абориген;a-b-o-r-i-g-je-n;б, аш, а, аца;noun;Кавказа абориген.  Абориген Кавказа.;Bekova 2009;Varvara Kormilitsyna
"АБСТРАКТНИ прил.  абстрактныи?; ~ цIердош.  Абстрактное существительное";ingu1240;23;1;абстрактни;a-b-s-t-r-a-k-t-n-i;;noun;абстрактни цIердош.  Абстрактное существительное.;Bekova 2009;Varvara Kormilitsyna
"АБСТРАКЦИ сущ.  я (только в ед.  ч. ), -е, -еца абстракция; Iилман Научная абстракция";ingu1240;24;1;абстракци;a-b-s-t-r-a-k-c-i;только в ед.  ч. , е, еца;noun;Iилман Научная абстракция.;Bekova 2009;Varvara Kormilitsyna
"АБХАЗ  сущ.  в (б), -аш, -а, -аца абхаз; са доттагIа ва.  Мои? друг аб-, хаз";ingu1240;25;1;абхаз;a-b-?-a-z;б, аш, а, аца;noun;са доттагIа ва.  Мои? друг абабхаз, хаз.;Bekova 2009;Varvara Kormilitsyna
"АБХАЗИИ прил.  абхазскии?; даар.Абхазская еда";ingu1240;26;1;абхазии;a-b-?-a-z-i-i;;adj;даар.Абхазская еда.;Bekova 2009;Varvara Kormilitsyna
"АБХАЗКА  сущ.  я (б), -аш, -ас, -аца абхазка; ~ ягIар соца деша.  Со мнои? училась абхазка";ingu1240;27;1;абхазка;a-b-?-a-z-k-a;б, аш, ас, аца;noun;абхазка ягIар соца деша.  Со мнои? училась абхазка.;Bekova 2009;Varvara Kormilitsyna
"АВТОНАЬКЪА прил.  автодорожныи?; техникум.  Автодорожныи? техникум";ingu1240;28;1;автонаькъа;a-w-t-o-n-?-q?-a;;adj;техникум.  Автодорожныи? техникум.;Bekova 2009;Varvara Kormilitsyna
"АВТОРЕМОНТНИ // машенашта ремонт ю прил.  авторемонтныи?; ~ завод.  Авторемонтныи? завод";ingu1240;29;1;авторемонтни;a-w-t-o-r-je-m-o-n-t-n-i;машенашта;adj;авторемонтни завод.  Авторемонтныи? завод.;Bekova 2009;Varvara Kormilitsyna
"АВАНГАРД  сущ.  я (только в ед.  ч. ), -о, -аца авангард; къахьегамхои? ~.  Авангард трудящихся";ingu1240;30;1;авангард;a-w-a-n-g-a-r-d;только в ед.  ч. , о, аца;noun;къахьегамхои? авангард.  Авангард трудящихся.;Bekova 2009;Varvara Kormilitsyna
"АВАНГАРДНИ прил.  авангардныи?; парте декхар.  Авангардная роль партии";ingu1240;31;1;авангардни;a-w-a-n-g-a-r-d-n-i;;adj;парте декхар.  Авангардная роль партии.;Bekova 2009;Varvara Kormilitsyna
"АВАНПОСТ  сущ.  я (я), -аш, -о, -аца аванпост; оттае.  Поставить аванпост";ingu1240;32;1;аванпост;a-w-a-n-p-o-s-t;я, аш, о, аца;noun;оттае.  Поставить аванпост.;Bekova 2009;Varvara Kormilitsyna
"АВАНС  сущ.  д (д), -аш, -о, -аца аванс; ~ хьаэца.  Получить аванс";ingu1240;33;1;аванс;a-w-a-n-s;д, аш, о, аца;noun;аванс хьаэца.  Получить аванс.;Bekova 2009;Varvara Kormilitsyna
"АВАНСАХ нареч.  авансом; ~ бIаь тума эца.  Получить авансом тысячу рублеи?";ingu1240;34;1;авансах;a-w-a-n-s-a-?;;adv;авансах бIаь тума эца.  Получить авансом тысячу рублеи?.;Bekova 2009;Varvara Kormilitsyna
"АВАНСОВИ прил.  авансовыи?; ~ отчет.  Авансовыи? отчет";ingu1240;35;1;авансови;a-w-a-n-s-o-w-i;;adj;авансови отчет.  Авансовыи? отчет.;Bekova 2009;Varvara Kormilitsyna
"АВАНСЦЕНА  сущ.  я (я), -аш, -о, -аца авансцена; ~ дIалаьцаи?.  Авансцена занята";ingu1240;36;1;авансцена;a-w-a-n-s-c-je-n-a;я, аш, о, аца;noun;авансцена дIалаьцаи?.  Авансцена занята.;Bekova 2009;Varvara Kormilitsyna
"АВАНТЮРА  сущ.  я (только в ед.  ч. ), -о, -аца авантюра; ~укхазачакхъяргьяц! Здесь авантюра не прои?дет";ingu1240;37;1;авантюра;a-w-a-n-t-ju-r-a;только в ед.  ч. , о, аца;noun;авантюраукхазачакхъяргьяц! Здесь авантюра не прои?дет.;Bekova 2009;Varvara Kormilitsyna
"АВАНТЮРНИ прил.  авантюрныи?; гIулакх.  Авантюрное дело";ingu1240;38;1;авантюрни;a-w-a-n-t-ju-r-n-i;;adj;гIулакх.  Авантюрное дело.;Bekova 2009;Varvara Kormilitsyna
"АВАРИ сущ.  я (я), -еш, -е, -еца авария; ~ хилар.  Произошла авария";ingu1240;39;1;авари;a-w-a-r-i;я, еш, е, еца;noun;авари хилар.  Произошла авария.;Bekova 2009;Varvara Kormilitsyna
"АВАРИИ?НИ прил.  аварии?ныи?; ~ хьал.  Аварии?ная ситуация";ingu1240;40;1;аварии;a-w-a-r-i-i;;adj;аварии хьал.  Аварии?ная ситуация.;Bekova 2009;Varvara Kormilitsyna
"АВГУСТ  // селии? бутт сущ.  б (только в ед.  ч. ), -о, -аца август; кхаччалца сабарде.  Дождаться месяца август";ingu1240;41;1;август;a-w-g-u?-s-t;селии, только в ед.  ч. , о, аца;noun;кхаччалца сабарде.  Дождаться месяца август.;Bekova 2009;Varvara Kormilitsyna
"АВГУСТОВСКИ прил.  августовскии?; хьехархои? ~ гуллам.  Августовское совещание учителеи?";ingu1240;42;1;августовски;a-w-g-u?-s-t-o-w-s-k-i;;adj;хьехархои? августовски гуллам.  Августовское совещание учителеи?.;Bekova 2009;Varvara Kormilitsyna
"АВИАБАЗА  сущ.  я (я), -аш, -о, -аца авиабаза; ~ хьаеллар.  Открытие авиабазы";ingu1240;43;1;авиабаза;a-w-i-a-b-a-z-a;я, аш, о, аца;noun;авиабаза хьаеллар.  Открытие авиабазы.;Bekova 2009;Varvara Kormilitsyna
"АВИАБИЛЕТ  сущ.  д (д), -аш, -о , -аца авиабилет; эца.  Приобрести авиабилет";ingu1240;44;1;авиабилет;a-w-i-a-b-i-l-je-t;д, аш, о, аца;noun;эца.  Приобрести авиабилет.;Bekova 2009;Varvara Kormilitsyna
"АВИАДЕСАНТ  сущ.  я (я), -аш, -о, -аца авиадесант; лоархIаме ~.  Значимыи? авиадесант";ingu1240;45;1;авиадесант;a-w-i-a-d-je-s-a-n-t;я, аш, о, аца;noun;лоархIаме авиадесант.  Значимыи? авиадесант.;Bekova 2009;Varvara Kormilitsyna
"АВИАЗАВОД  сущ.  я (я), -аш, -о, -аца авиазавод; хьалъеш латта ~.  Строящии?ся авиазавод";ingu1240;46;1;авиазавод;a-w-i-a-z-a-w-o-d;я, аш, о, аца;noun;хьалъеш латта авиазавод.  Строящии?ся авиазавод.;Bekova 2009;Varvara Kormilitsyna
"АВИАКОМПАНИ сущ.  я (я), -еш, -е, -еца авиакомпания; ~ керда реи?с хьаеллаш я.  Авиакомпания открывает новыи? реи?с";ingu1240;47;1;авиакомпани;a-w-i-a-k-o-m-p-a-n-i;я, еш, е, еца;noun;авиакомпани керда реи?с хьаеллаш я.  Авиакомпания открывает новыи? реи?с.;Bekova 2009;Varvara Kormilitsyna
"АВИАКОНСТРУКТОР  сущ.  в, я (б), -аш, -а, -ца авиаконструктор; ц1ихеза ~.  Известныи? авиаконструктор";ingu1240;48;1;авиаконструктор;a-w-i-a-k-o-n-s-t-r-u?-k-t-o-r;б, аш, а, ца;noun;ц1ихеза авиаконструктор.  Известныи? авиаконструктор.;Bekova 2009;Varvara Kormilitsyna
"АВИАМОДЕЛИЗМ  сущ.  я (только в ед.  ч. ), -о, -аца авиамоделизм; Россера~.  России?скии? авиамоделизм";ingu1240;49;1;авиамоделизм;a-w-i-a-m-o-d-je-l-i-z-m;только в ед.  ч. , о, аца;noun;Россераавиамоделизм.  России?скии? авиамоделизм.;Bekova 2009;Varvara Kormilitsyna
"АВИАМОДЕЛИСТ сущ.  в, я (б), -аш, -а, -аца авиамоделист; ~ кии?чве.  Подготовить авиамоделиста";ingu1240;50;1;авиамоделист;a-w-i-a-m-o-d-je-l-i-s-t;б, аш, а, аца;noun;авиамоделист кии?чве.  Подготовить авиамоделиста.;Bekova 2009;Varvara Kormilitsyna
"АВИАМОДЕЛЬ  сущ.  я (я), -аш, -о, -аца авиамодель; ~ е Iомалу техникуме.  В техникуме учат конструировать авиамодели";ingu1240;51;1;авиамодель;a-w-i-a-m-o-d-je-l-ь;я, аш, о, аца;noun;авиамодель е Iомалу техникуме.  В техникуме учат конструировать авиамодели.;Bekova 2009;Varvara Kormilitsyna
"АВИАМОДЕЛЬНИ прил.  авиамодельныи?; ~ кружок.  Авиамодельныи? кружок";ingu1240;52;1;авиамодельни;a-w-i-a-m-o-d-je-l-ьn-i;;adj;авиамодельни кружок.  Авиамодельныи? кружок.;Bekova 2009;Varvara Kormilitsyna
"АВИАНИКЪ сущ.  б (д), авианаькъаш, авианаькъо, авианаькъаца авиалиния; билаб.  Проложена авиалиния";ingu1240;53;1;авианикъ;a-w-i-a-n-i-q?;д;noun;билаб.  Проложена авиалиния.;Bekova 2009;Varvara Kormilitsyna
"АВИАПОШТ сущ.  я (я), -аш, -о, -аца авиапочта; ~ болх беш я.  Авиапочта работает";ingu1240;54;1;авиапошт;a-w-i-a-p-o-?-t;я, аш, о, аца;noun;авиапошт болх беш я.  Авиапочта работает.;Bekova 2009;Varvara Kormilitsyna
"АВИАРАЗВЕДКА  сущ.  я (только в ед.  ч. ), -о, -аца авиаразведка; ~ толаме чакхъяьлар.  Авиаразведка прошла успешно";ingu1240;55;1;авиаразведка;a-w-i-a-r-a-z-w-je-d-k-a;только в ед.  ч. , о, аца;noun;авиаразведка толаме чакхъяьлар.  Авиаразведка прошла успешно.;Bekova 2009;Varvara Kormilitsyna
"АВИАТОР  сущ.  в (б), -аш, -а, -ца авиатор; эрсии? ~.  Русскии? авиатор";ingu1240;56;1;авиатор;a-w-i-a-t-o-r;б, аш, а, ца;noun;эрсии? авиатор.  Русскии? авиатор.;Bekova 2009;Varvara Kormilitsyna
"АВИАТОРИИ? прил.  авиаторскии?; курсаш.  Авиаторские курсы";ingu1240;57;1;авиатории;a-w-i-a-t-o-r-i-i;;adj;курсаш.  Авиаторские курсы.;Bekova 2009;Varvara Kormilitsyna
"АВИАТРАНСПОРТ  сущ.  я (только в ед.  ч. ), -о, -аца авиатранспорт; ~ тоаю & завод.  Завод по ремонту авиатранспорта";ingu1240;58;1;авиатранспорт;a-w-i-a-t-r-a-n-s-p-o-r-t;только в ед.  ч. , о, аца;noun;авиатранспорт тоаю & завод.  Завод по ремонту авиатранспорта.;Bekova 2009;Varvara Kormilitsyna
"АВИАТРАССА  сущ.  б (д), -аш, -о, -аца авиатрасса; ~ булаш латт.  Строится авиатрасса";ingu1240;59;1;авиатрасса;a-w-i-a-t-r-a-s-s-a;д, аш, о, аца;noun;авиатрасса булаш латт.  Строится авиатрасса.;Bekova 2009;Varvara Kormilitsyna
"АВИАХОАМ сущ.  б (д), -аш, -о, -аца. , авиасообщение; из бар тIеххьара Это было последнее авиасообщение";ingu1240;60;1;авиахоам;a-w-i-a-?-o-a-m;д, аш, о, аца;noun;из бар тIеххьара Это было последнее авиасообщение.;Bekova 2009;Varvara Kormilitsyna
"АВИАЦИ сущ.  я (только в ед.  ч. )ц -е, -еца авиация; ~ дегIаи?оалае.  Совершенствовать авиацию";ingu1240;61;1;авиаци;a-w-i-a-c-i;только в ед.  ч. , е, еца;noun;авиаци дегIаи?оалае.  Совершенствовать авиацию.;Bekova 2009;Varvara Kormilitsyna
"АВИАЦИОИНИ прил.  авиационныи?; ~ феткен.  Авиационныи? керосин";ingu1240;62;1;авиациоини;a-w-i-a-c-i-o-i-n-i;;adj;авиациоини феткен.  Авиационныи? керосин.;Bekova 2009;Varvara Kormilitsyna
"АВСТРАЛИЕЦ  сущ.  в (б), австралии?цаш, австралии?ца, австралии?цаца австралиец; ~ вовза. Познакомиться с австралии?цем";ingu1240;63;1;австралиец;a-w-s-t-r-a-l-i-je-c;б;noun;австралиец вовза. Познакомиться с австралии?цем.;Bekova 2009;Varvara Kormilitsyna
"АВСТРАЛИИ?КА сущ. я (я), -аш, -ас, -аца австралии?ка; уллув ягIар.Рядом сидела австралии?ка";ingu1240;64;1;австралии;a-w-s-t-r-a-l-i-i;я, аш, ас, аца;noun;уллув ягIар.Рядом сидела австралии?ка.;Bekova 2009;Varvara Kormilitsyna
"АВСТРАЛИИ?ЦИИ? прил.  австралии?скии?; ~ паччахьалкхе.  Австралии?ское государство";ingu1240;65;1;австралии;a-w-s-t-r-a-l-i-i;;adj;австралии паччахьалкхе.  Австралии?ское государство.;Bekova 2009;Varvara Kormilitsyna
"АВСТРИЕЦ // аветре сущ.  в (б), австрии?цаш // -ии?, австрии?ца // -чо, австрии?цаца // -чунца австриец; фекемада вераАвстриец прибыл самоле?том";ingu1240;66;1;австриец;a-w-s-t-r-i-je-c;аветре, б, ии, чо, чунца;noun;фекемада вераАвстриец прибыл самоле?том.;Bekova 2009;Varvara Kormilitsyna
"АВСТРИИ?КА  // австре сущ.  я (б), -аш // -ии?, -ас // -ечо, -аца // -ечунца австрии?ка; са нрщ я.  Моя подруга австрии?ка";ingu1240;67;1;австрии;a-w-s-t-r-i-i;австре, б, аш, ии, ас, ечо, аца, ечунца;noun;са нрщ я.  Моя подруга австрии?ка.;Bekova 2009;Varvara Kormilitsyna
"АВСТРИИ?СКИ // австрии?ции? // аветрии? прил.  австрии?скии?; ~ халхар.  Австрии?скии? танец";ingu1240;68;1;австрии;a-w-s-t-r-i-i;австрии?ции;adj;австрии халхар.  Австрии?скии? танец.;Bekova 2009;Varvara Kormilitsyna
"АВТОВАЗА  сущ.  я (я), -аш, -о, =аца автобаза; ~ болх бещ я.  Автобаза работает";ingu1240;69;1;автоваза;a-w-t-o-w-a-z-a;я, аш, о;noun;автоваза болх бещ я.  Автобаза работает.;Bekova 2009;Varvara Kormilitsyna
"АВТОВИОГРАФИ сущ.  я (я), -еш, =е, -еца автобиография; ~ язъе.  Написать автобиографию";ingu1240;70;1;автовиографи;a-w-t-o-w-i-o-g-r-a-f-i;я, еш, еца;noun;автовиографи язъе.  Написать автобиографию.;Bekova 2009;Varvara Kormilitsyna
"АВТОБИОГРАФИЧЕСКИ прил.  автобиографическии?; ~ очерк.  Автобиографическии? очерк";ingu1240;71;1;автобиографически;a-w-t-o-b-i-o-g-r-a-f-i-?-je-s-k-i;;adj;автобиографически очерк.  Автобиографическии? очерк.;Bekova 2009;Varvara Kormilitsyna
"АВТОБУС  сущ.  я (я), -аш, -о, -аца автобус; ~ лалла.  Вести автобус";ingu1240;72;1;автобус;a-w-t-o-b-u?-s;я, аш, о, аца;noun;автобус лалла.  Вести автобус.;Bekova 2009;Varvara Kormilitsyna
"АВТОБУСНИ прил.  автобусныи?; парк.  Автобусныи? парк";ingu1240;73;1;автобусни;a-w-t-o-b-u?-s-n-i;;adj;парк.  Автобусныи? парк.;Bekova 2009;Varvara Kormilitsyna
"АВТОВОКЗАЛ  сущ.  я (я), -аш, -о, -аца автовокзал; Наьсарера ~.  Назрановскии? автовокзал";ingu1240;74;1;автовокзал;a-w-t-o-w-o-k-z-a-l;я, аш, о, аца;noun;Наьсарера автовокзал.  Назрановскии? автовокзал.;Bekova 2009;Varvara Kormilitsyna
"АВТОГЕННИ прил.  автогенныи?; болх.  Автогенная работа";ingu1240;75;1;автогенни;a-w-t-o-g-je-n-n-i;;adj;болх.  Автогенная работа.;Bekova 2009;Varvara Kormilitsyna
"АВТОГОНЩИК  сущ.  в, я (б), -аш, -а, -аца автогонщик; хIанз вена Только что прибывшии? автогонщик";ingu1240;76;1;автогонщик;a-w-t-o-g-o-n-щi-k;б, аш, а, аца;noun;хIанз вена Только что прибывшии? автогонщик.;Bekova 2009;Varvara Kormilitsyna
"АВТОЗАВОД  сущ.  я (я), -аш, -о, -аца автозавод; Тольяттера ~.  Тольятинскии? автозавод";ingu1240;77;1;автозавод;a-w-t-o-z-a-w-o-d;я, аш, о, аца;noun;Тольяттера автозавод.  Тольятинскии? автозавод.;Bekova 2009;Varvara Kormilitsyna
"АВТОЗАПРАВКА  сущ.  я (я), -аш, -о, -аца автозаправка; хьаелла.  Открыть автозаправку";ingu1240;78;1;автозаправка;a-w-t-o-z-a-p-r-a-w-k-a;я, аш, о, аца;noun;хьаелла.  Открыть автозаправку.;Bekova 2009;Varvara Kormilitsyna
"АВТОЗАПРАВОЧНИ прил.  автозаправочныи?; бак.  Автозаправочныи? бак";ingu1240;79;1;автозаправочни;a-w-t-o-z-a-p-r-a-w-o-?-n-i;;adj;бак.  Автозаправочныи? бак.;Bekova 2009;Varvara Kormilitsyna
"АВТОИНСПЕКЦИ сущ.  я (я), -еш, -е, -еца автоинспекция; автомобилаш нии?са лелаяра тIахьожам беш я.  Автоинспекция осуществляет контроль над правильнои? эксплуатациеи? автомашин";ingu1240;80;1;автоинспекци;a-w-t-o-i-n-s-p-je-k-c-i;я, еш, е, еца;noun;автомобилаш нии?са лелаяра тIахьожам беш я.  Автоинспекция осуществляет контроль над правильнои? эксплуатациеи? автомашин.;Bekova 2009;Varvara Kormilitsyna
"АВТОИНСПЕКТОР  сущ.  в, я (б), -аш, -а, -ца автоинспектор; наькъюкъе латта Автоинспектор, стоящии? в центре дороги";ingu1240;81;1;автоинспектор;a-w-t-o-i-n-s-p-je-k-t-o-r;б, аш, а, ца;noun;наькъюкъе латта Автоинспектор, стоящии? в центре дороги.;Bekova 2009;Varvara Kormilitsyna
"АВТОКОЛОННА  сущ.  я (я), -аш, -о, -аца автоколонна; хьалха и?одар.Впереди шла автоколонна";ingu1240;82;1;автоколонна;a-w-t-o-k-o-l-o-n-n-a;я, аш, о, аца;noun;хьалха и?одар.Впереди шла автоколонна.;Bekova 2009;Varvara Kormilitsyna
"АВТОКЛУБ  сущ.  я (я), -аш, -о, -аца автоклуб; ~ и?отта.  Строить автоклуб";ingu1240;83;1;автоклуб;a-w-t-o-k-l-u?-b;я, аш, о, аца;noun;автоклуб и?отта.  Строить автоклуб.;Bekova 2009;Varvara Kormilitsyna
"АВТОЛ  сущ.  д (только в ед.  ч. ), -о, -аца автол; эца.  Приобрести автол";ingu1240;84;1;автол;a-w-t-o-l;только в ед.  ч. , о, аца;noun;эца.  Приобрести автол.;Bekova 2009;Varvara Kormilitsyna
"АВТОЛАВКА  сущ.  я (я), -аш, -о, -аца автолавка; къаи?ла я.  Автолавка закрыта";ingu1240;85;1;автолавка;a-w-t-o-l-a-w-k-a;я, аш, о, аца;noun;къаи?ла я.  Автолавка закрыта.;Bekova 2009;Varvara Kormilitsyna
"АВТОМАТ  сущ.  я (я), -аш, -о, -аца автомат; ~ урагIъетта.  Стрелять из автомата вверх";ingu1240;86;1;автомат;a-w-t-o-m-a-t;я, аш, о, аца;noun;автомат урагIъетта.  Стрелять из автомата вверх.;Bekova 2009;Varvara Kormilitsyna
"АВТОМАТИЗАЦИ сущ.  я (только в ед ч. ), -е, -еца автоматизация; шерра яьржа я.  Автоматизация широко распространена";ingu1240;87;1;автоматизаци;a-w-t-o-m-a-t-i-z-a-c-i;только в ед ч. , е, еца;noun;шерра яьржа я.  Автоматизация широко распространена.;Bekova 2009;Varvara Kormilitsyna
"АВТОМАТИКА  сущ.  я (только в ед.  ч. ), -о, -аца автоматика; ~ промышленности массе доакъошка я.Автоматика имеется во всех отраслях промышленности";ingu1240;88;1;автоматика;a-w-t-o-m-a-t-i-k-a;только в ед.  ч. , о, аца;noun;автоматика промышленности массе доакъошка я.Автоматика имеется во всех отраслях промышленности.;Bekova 2009;Varvara Kormilitsyna
"АВТОМАТИЧЕСКИ прил.  автоматическии?; ~ телефонии станци.  Автоматическая телефонная станция";ingu1240;89;1;автоматически;a-w-t-o-m-a-t-i-?-je-s-k-i;;adj;автоматически телефонии станци.  Автоматическая телефонная станция.;Bekova 2009;Varvara Kormilitsyna
"АВТОМАТЧИК  сущ.  в (б), -аш, -а, -аца автоматчик; поалхам бола ~.Опытныи? автоматчик";ingu1240;90;1;автоматчик;a-w-t-o-m-a-t-?-i-k;б, аш, а, аца;noun;поалхам бола автоматчик.Опытныи? автоматчик.;Bekova 2009;Varvara Kormilitsyna
"АВТОМАШЕН сущ.  я (я), -аш, -о, -аца автомашина; цIена Новая автомашина";ingu1240;91;1;автомашен;a-w-t-o-m-a-?-je-n;я, аш, о, аца;noun;цIена Новая автомашина.;Bekova 2009;Varvara Kormilitsyna
"АВТОМОБИЛИСТ  сущ.  в, я (б), -аш, -а, -аца автомобилист; из массарел хьалхаваьлар.  Этот автомобилист обогнал всех";ingu1240;92;1;автомобилист;a-w-t-o-m-o-b-i-l-i-s-t;б, аш, а, аца;noun;из массарел хьалхаваьлар.  Этот автомобилист обогнал всех.;Bekova 2009;Varvara Kormilitsyna
"АВТОМОБИЛЬНИ // автомобила прил.  автомобильныи?; чарх.  Автомобильная шина";ingu1240;93;1;автомобильни;a-w-t-o-m-o-b-i-l-ьn-i;автомобила;adj;чарх.  Автомобильная шина.;Bekova 2009;Varvara Kormilitsyna
"АВТОНОМИ сущ.  я (только в ед.  ч. ), -е, -еца автономия; ~ яккха.  Добиться автономии";ingu1240;94;1;автономи;a-w-t-o-n-o-m-i;только в ед.  ч. , е, еца;noun;автономи яккха.  Добиться автономии.;Bekova 2009;Varvara Kormilitsyna
"АВТОНОМИИ прил.  автономныи?; ~ республика.  Автономная республика";ingu1240;95;1;автономии;a-w-t-o-n-o-m-i-i;;adj;автономии республика.  Автономная республика.;Bekova 2009;Varvara Kormilitsyna
"АВТОНИКЪ сущ.  б (д), автонаькъаш, автонаькъо, автонаькъаца; 1) автодорога; дика ~.  Хорошая автодорога; 2) автотрасса; ~ тоабеш латт.Автотрассу ремонтируют";ingu1240;96;1;автоникъ;a-w-t-o-n-i-q?;д;noun;АВТОНИКЪ сущ.  б (д), автонаькъаш, автонаькъо, автонаькъаца1) автодорога.;Bekova 2009;Varvara Kormilitsyna
